SPECIES_NAME,SCIENTIFIC_NAME,IUCN_CATEGORY,POPULATION_TREND
Needlescaled queenfish,Scomberoides tol,Least Concern,Unknown
New Zealand dory,Cyttus novaezealandiae,Least Concern,Unknown
North Pacific hake,Merluccius productus,Least Concern,Unknown
Northern puffer,Sphoeroides maculatus,Least Concern,Decreasing
Northern red snapper,Lutjanus campechanus,Vulnerable,Decreasing
Northern rock sole,Lepidopsetta polyxystra,Least Concern,Stable
Northern shortfin squid,Illex illecebrosus,Least Concern,Unknown
Norway lobster,Nephrops norvegicus,Least Concern,Stable
Norway pout,Trisopterus esmarkii,Least Concern,Increasing
Oblique-banded snapper,Pristipomoides zonatus,Least Concern,Unknown
Offshore rockfish,Pontinus kuhlii,Data Deficient,Unknown
Oilfish,Ruvettus pretiosus,Least Concern,Stable
Olive grunt,Pomadasys olivaceus,Least Concern,Unknown
One-spot snapper,Lutjanus monostigma,Least Concern,Stable
Orange goatfish,Mulloidichthys pfluegeri,Least Concern,Unknown
Orange-spotted grouper,Epinephelus coioides,Least Concern,Decreasing
Orangespotted trevally,Carangoides bajad,Least Concern,Unknown
Ornate jobfish,Pristipomoides argyrogrammicus,Least Concern,Unknown
Pacific anchoveta,Cetengraulis mysticetus,Least Concern,Unknown
Pacific bluefin tuna,Thunnus orientalis,Near Threatened,Decreasing
Pacific bumper,Chloroscombrus orqueta,Least Concern,Unknown
Pacific chub mackerel,Scomber japonicus,Least Concern,Stable
Pacific halibut,Hippoglossus stenolepis,Least Concern,Stable
Pacific jack mackerel,Trachurus symmetricus,Least Concern,Unknown
Pacific menhaden,Ethmidium maculatum,Data Deficient,Unknown
Pacific piquitinga,Lile stolifera,Least Concern,Unknown
Pacific red snapper,Lutjanus peru,Least Concern,Unknown
Pacific sand sole,Psettichthys melanostictus,Least Concern,Unknown
Pacific sierra,Scomberomorus sierra,Least Concern,Stable
Pacific thread herring,Opisthonema libertate,Least Concern,Stable
Painted comber,Serranus scriba,Least Concern,Stable
Panama grunt,Pomadasys panamensis,Least Concern,Unknown
Parona leatherjacket,Parona signata,Least Concern,Unknown
Patagonian redfish,Sebastes oculatus,Least Concern,Unknown
Peacock hind,Cephalopholis argus,Least Concern,Stable
Perlemoen abalone,Haliotis midae,Endangered,Decreasing
Peruvian moonfish,Selene peruviana,Least Concern,Unknown
Peruvian rock seabass,Paralabrax humeralis,Data Deficient,Unknown
Petrale sole,Eopsetta jordani,Least Concern,Stable
Pigfish,Orthopristis chrysoptera,Least Concern,Unknown
Pigsnout grunt,Pomadasys rogerii,Least Concern,Unknown
Pilotfish,Naucrates ductor,Least Concern,Stable
Pink maomao,Caprodon longimanus,Least Concern,Unknown
Piper gurnard,Trigla lyra,Least Concern,Unknown
Plain bonito,Orcynopsis unicolor,Least Concern,Stable
Pollack,Pollachius pollachius,Least Concern,Unknown
Pompano,Trachinotus ovatus,Least Concern,Unknown
Pontic shad,Alosa immaculata,Vulnerable,Decreasing
Porbeagle,Lamna nasus,Vulnerable,Decreasing
Pudgy cuskeel,Spectrunculus grandis,Least Concern,Unknown
Queen snapper,Etelis oculatus,Data Deficient,Unknown
Rainbow runner,Elagatis bipinnulata,Least Concern,Stable
Rainbow sardine,Dussumieria acuta,Least Concern,Unknown
Red grouper,Epinephelus morio,Vulnerable,Decreasing
Red hind,Epinephelus guttatus,Least Concern,Unknown
Red rock lobster,Jasus edwardsii,Least Concern,Stable
Red scorpionfish,Scorpaena scrofa,Least Concern,Unknown
Redmouth grouper,Aethaloperca rogaa,Least Concern,Unknown
Rex sole,Glyptocephalus zachirus,Least Concern,Stable
Rock hind,Epinephelus adscensionis,Least Concern,Stable
Rock sole,Lepidopsetta bilineata,Least Concern,Stable
Roudi escolar,Promethichthys prometheus,Least Concern,Stable
Rough scad,Trachurus lathami,Least Concern,Stable
Roughneck grunt,Haemulopsis corvinaeformis,Least Concern,Unknown
Round sardinella,Sardinella aurita,Least Concern,Unknown
Round scad,Decapterus punctatus,Least Concern,Stable
Roving coralgrouper,Plectropomus pessuliferus,Least Concern,Decreasing
Rubberlip grunt,Plectorhinchus mediterraneus,Data Deficient,Unknown
Rusty jobfish,Aphareus rutilans,Least Concern,Unknown
Saddle grunt,Pomadasys maculatus,Least Concern,Unknown
Saddle-back snapper,Paracaesio kusakarii,Least Concern,Unknown
Sailfin snapper,Symphorichthys spilurus,Least Concern,Unknown
Saithe(=Pollock),Pollachius virens,Least Concern,Unknown
Samson fish,Seriola hippos,Least Concern,Unknown
Sand perch,Diplectrum formosum,Least Concern,Unknown
Sand smelt,Atherina presbyter,Least Concern,Unknown
Scaled herring,Harengula jaguana,Least Concern,Unknown
Scamp,Mycteroperca phenax,Data Deficient,Stable
Schoolmaster snapper,Lutjanus apodus,Least Concern,Decreasing
Sea trout,Salmo trutta,Least Concern,Unknown
Senegal jack,Caranx senegallus,Least Concern,Stable
Senegalese hake,Merluccius senegalensis,Endangered,Decreasing
Senegalese sole,Solea senegalensis,Data Deficient,Unknown
